ELI,ELI Description,PCE Series Code,PCE Description
AA011,MEN'S SUITS,DMBCRC,Men's and boys' clothing
AA012,MEN'S SPORT COATS AND TAILORED JACKETS,DMBCRC,Men's and boys' clothing
AA013,MEN'S OUTERWEAR,DMBCRC,Men's and boys' clothing
AA021,"MEN'S UNDERWEAR, HOSIERY AND NIGHTWEAR",DMBCRC,Men's and boys' clothing
AA022,MEN'S ACCESSORIES,DMBCRC,Men's and boys' clothing
AA022,MEN'S ACCESSORIES,DLUGRC,Luggage and similar personal items
AA023,MEN'S ACTIVE SPORTSWEAR,DMBCRC,Men's and boys' clothing
AA031,MEN'S SHIRTS,DMBCRC,Men's and boys' clothing
AA032,MEN'S SWEATERS AND VESTS,DMBCRC,Men's and boys' clothing
AA033,"MEN'S SHIRTS, SWEATERS, AND VESTS",DMBCRC,Men's and boys' clothing
AA041,MEN'S PANTS AND SHORTS,DMBCRC,Men's and boys' clothing
AA090,UNSAMPLED MEN'S APPAREL,DMBCRC,Men's and boys' clothing
AB011,BOYS' OUTERWEAR,DMBCRC,Men's and boys' clothing
AB012,BOYS' SHIRTS AND SWEATERS,DMBCRC,Men's and boys' clothing
AB013,"BOYS' UNDERWEAR, NIGHTWEAR, HOSIERY AND ACCESSORIES",DMBCRC,Men's and boys' clothing
AB013,"BOYS' UNDERWEAR, NIGHTWEAR, HOSIERY AND ACCESSORIES",DLUGRC,Luggage and similar personal items
AB014,"BOYS' SUITS, SPORT COATS, AND PANTS",DMBCRC,Men's and boys' clothing
AB015,BOYS' ACTIVE SPORTSWEAR,DMBCRC,Men's and boys' clothing
AB090,UNSAMPLED BOY'S APPAREL,DMBCRC,Men's and boys' clothing
AC011,WOMEN'S OUTERWEAR,DWGCRC,Women's and girls' clothing
AC021,WOMEN'S DRESSES,DWGCRC,Women's and girls' clothing
AC031,WOMEN'S TOPS,DWGCRC,Women's and girls' clothing
