LineDescription,QuantityFinal,PriceFinal,weight,level,category,quadrant
Accessories and parts,0.14667354026013546,-0.11359597222983853,0.0038429127680595105,Level 4,Goods,Supply+
Accounting and other business services,-0.022508790040263182,-0.0019457244230622894,0.003852563398277479,Level 4,Services,Demand-
Admissions to specified spectator amusements,-0.006511807942630066,0.0835032656716842,0.004910686068604739,Level 4,Services,Supply-
Air transportation (64),0.06608403663060614,-0.1347844180711686,0.010774769562039554,Level 4,Services,Supply+
"Amusement parks, campgrounds, and related recreational services",-0.1396577140018458,0.0052341840760761205,0.004324383770142774,Level 4,Services,Supply-
Beer,0.017451624385190434,-0.050012126708021576,0.0053496306672000315,Level 4,Food and Energy,Supply+
Bicycles and accessories,0.09680099026506073,-0.03027122829837048,3.9424415203624056e-4,Level 4,Goods,Supply+
"Cable, satellite, and other live television services",0.0197651774408385,0.0028237552628491702,0.004663587514672139,Level 4,Services,Demand+
Carpets and other floor coverings,0.15167115736341774,-0.11357417440285733,0.0014674260475387923,Level 4,Goods,Supply+
Casino gambling,0.001962588270889576,-0.04014118077841444,0.0075738888306787384,Level 4,Services,Supply+
Child care,-0.010102844794846466,-0.005115262082995731,0.0029130586389260185,Level 4,Services,Demand-
Children's and infants' clothing (12),0.004916339873920372,-0.022636348141543916,0.0013687457022880265,Level 4,Goods,Supply+
"Clocks, lamps, lighting fixtures, and other household decorative items",0.06631334632682973,-0.09062822010882143,0.0030041033207076225,Level 4,Goods,Supply+
Clothing and footwear services,0.007670725024047198,-0.04315062401869918,0.001019255022251596,Level 4,Services,Supply+
Clothing materials,-0.1018794197642543,0.1012925234389761,1.6480306987607743e-4,Level 4,Goods,Supply-
Commercial and vocational schools (99),-0.017128228625878483,0.01113143838714481,0.004141976253935018,Level 4,Services,Supply-
Corrective eyeglasses and contact lenses,0.0057400783495010765,0.012304864027526063,0.0022719810601609684,Level 4,Goods,Demand+
Cosmetic / perfumes / bath / nail preparations and implements,0.023827551565600347,-0.026145377944796655,0.003716606168173791,Level 4,Goods,Supply+
Dental services (45),8.471318129179561e-4,-0.019641098563070614,0.009236713627411014,Level 4,Services,Supply+
Dishes and flatware,0.09877550299146787,-0.1264502615710904,0.0015224134296049096,Level 4,Goods,Supply+
Domestic services,-0.09281482877323266,0.019855574274729504,0.0020491681580955636,Level 4,Services,Supply-
Electric appliances for personal care,0.03531582102894293,-0.03663349059417853,6.140346039784351e-4,Level 4,Goods,Supply+
Electricity and gas,-0.09188734771219143,-0.14471523932219243,0.016986275743321233,Level 4,Food and Energy,Demand-
Expenditures abroad by U.S. residents,-0.10280839224174909,0.1017601397627157,6.959589099496513e-4,Level 4,Goods,Supply-
Film and photographic supplies,0.0402394804482793,0.030394257965318472,6.956937827458609e-5,Level 4,Goods,Demand+
"Financial service charges, fees, and commissions (108)",-0.00586979213963823,0.08380837337606972,0.021964834376096302,Level 4,Services,Supply-
