date_full,supply_chains,date
30-Apr-98,-0.13,1998-04-01
31-May-98,-0.51,1998-05-01
30-Jun-98,-0.78,1998-06-01
31-Jul-98,-0.93,1998-07-01
31-Aug-98,-0.95,1998-08-01
30-Sep-98,-0.93,1998-09-01
31-Oct-98,-0.74,1998-10-01
30-Nov-98,-0.84,1998-11-01
31-Dec-98,-0.64,1998-12-01
31-Jan-99,-0.29,1999-01-01
28-Feb-99,-0.04,1999-02-01
31-Mar-99,-0.3,1999-03-01
30-Apr-99,-0.32,1999-04-01
31-May-99,-0.34,1999-05-01
30-Jun-99,-0.39,1999-06-01
31-Jul-99,-0.61,1999-07-01
31-Aug-99,-0.45,1999-08-01
30-Sep-99,-0.3,1999-09-01
31-Oct-99,-0.1,1999-10-01
30-Nov-99,-0.06,1999-11-01
31-Dec-99,-0.02,1999-12-01
31-Jan-00,-0.48,2000-01-01
29-Feb-00,-0.28,2000-02-01
31-Mar-00,-0.25,2000-03-01
30-Apr-00,0.11,2000-04-01
31-May-00,0.19,2000-05-01
30-Jun-00,-0.1,2000-06-01
31-Jul-00,-0.12,2000-07-01
31-Aug-00,-0.08,2000-08-01
30-Sep-00,-0.19,2000-09-01
31-Oct-00,-0.64,2000-10-01
30-Nov-00,-0.88,2000-11-01
31-Dec-00,-1.1,2000-12-01
31-Jan-01,-1.12,2001-01-01
28-Feb-01,-0.94,2001-02-01
31-Mar-01,-0.93,2001-03-01
30-Apr-01,-1.15,2001-04-01
31-May-01,-1.24,2001-05-01
30-Jun-01,-0.82,2001-06-01
31-Jul-01,-0.8,2001-07-01
31-Aug-01,-0.68,2001-08-01
30-Sep-01,-0.62,2001-09-01
31-Oct-01,-1.13,2001-10-01
30-Nov-01,-1.22,2001-11-01
31-Dec-01,-1.04,2001-12-01
31-Jan-02,-0.79,2002-01-01
28-Feb-02,-0.31,2002-02-01
31-Mar-02,-0.32,2002-03-01
30-Apr-02,-0.42,2002-04-01
31-May-02,-0.18,2002-05-01
30-Jun-02,-0.44,2002-06-01
31-Jul-02,-0.83,2002-07-01
31-Aug-02,-0.95,2002-08-01
30-Sep-02,-0.98,2002-09-01
31-Oct-02,-1.15,2002-10-01
30-Nov-02,-0.75,2002-11-01
31-Dec-02,-0.57,2002-12-01
31-Jan-03,-0.47,2003-01-01
28-Feb-03,-0.35,2003-02-01
31-Mar-03,-0.24,2003-03-01
30-Apr-03,-0.5,2003-04-01
31-May-03,-0.22,2003-05-01
30-Jun-03,-0.17,2003-06-01
31-Jul-03,-0.08,2003-07-01
31-Aug-03,-0.14,2003-08-01
30-Sep-03,0.01,2003-09-01
31-Oct-03,-0.22,2003-10-01
30-Nov-03,-0.3,2003-11-01
31-Dec-03,-0.22,2003-12-01
31-Jan-04,-0.37,2004-01-01
29-Feb-04,-0.24,2004-02-01
31-Mar-04,0.12,2004-03-01
30-Apr-04,0.51,2004-04-01
31-May-04,0.46,2004-05-01
30-Jun-04,0.44,2004-06-01
31-Jul-04,-0.36,2004-07-01
31-Aug-04,0.17,2004-08-01
30-Sep-04,-0.05,2004-09-01
31-Oct-04,-0.61,2004-10-01
30-Nov-04,-0.02,2004-11-01
31-Dec-04,0.14,2004-12-01
31-Jan-05,-0.16,2005-01-01
28-Feb-05,-0.23,2005-02-01
31-Mar-05,-0.29,2005-03-01
30-Apr-05,-1.36,2005-04-01
31-May-05,-1.08,2005-05-01
30-Jun-05,-0.96,2005-06-01
31-Jul-05,-0.98,2005-07-01
31-Aug-05,-0.66,2005-08-01
30-Sep-05,0.02,2005-09-01
31-Oct-05,-0.06,2005-10-01
30-Nov-05,-0.65,2005-11-01
31-Dec-05,-0.67,2005-12-01
31-Jan-06,-0.33,2006-01-01
28-Feb-06,-0.63,2006-02-01
31-Mar-06,-0.43,2006-03-01
30-Apr-06,0.02,2006-04-01
31-May-06,0.08,2006-05-01
30-Jun-06,0.08,2006-06-01
31-Jul-06,-0.15,2006-07-01
31-Aug-06,0.04,2006-08-01
30-Sep-06,-0.58,2006-09-01
31-Oct-06,-0.45,2006-10-01
30-Nov-06,-0.24,2006-11-01
31-Dec-06,-0.48,2006-12-01
31-Jan-07,-0.87,2007-01-01
28-Feb-07,-0.74,2007-02-01
31-Mar-07,-0.54,2007-03-01
30-Apr-07,-0.74,2007-04-01
31-May-07,-0.33,2007-05-01
30-Jun-07,-0.38,2007-06-01
31-Jul-07,-0.38,2007-07-01
31-Aug-07,-0.08,2007-08-01
30-Sep-07,-0.09,2007-09-01
31-Oct-07,-0.63,2007-10-01
30-Nov-07,-0.48,2007-11-01
31-Dec-07,-0.17,2007-12-01
31-Jan-08,-0.35,2008-01-01
29-Feb-08,0.38,2008-02-01
31-Mar-08,0.14,2008-03-01
30-Apr-08,0.11,2008-04-01
31-May-08,-0.13,2008-05-01
30-Jun-08,0.2,2008-06-01
31-Jul-08,0.92,2008-07-01
31-Aug-08,0.19,2008-08-01
30-Sep-08,-0.59,2008-09-01
31-Oct-08,-1.03,2008-10-01
30-Nov-08,-1.59,2008-11-01
31-Dec-08,-0.76,2008-12-01
31-Jan-09,-0.5,2009-01-01
28-Feb-09,-0.62,2009-02-01
31-Mar-09,0.01,2009-03-01
30-Apr-09,0.67,2009-04-01
31-May-09,0.19,2009-05-01
30-Jun-09,-0.61,2009-06-01
31-Jul-09,-0.83,2009-07-01
31-Aug-09,-1.16,2009-08-01
30-Sep-09,-0.52,2009-09-01
31-Oct-09,-0.48,2009-10-01
30-Nov-09,-0.8,2009-11-01
31-Dec-09,-0.63,2009-12-01
31-Jan-10,-0.3,2010-01-01
28-Feb-10,-0.13,2010-02-01
31-Mar-10,0.39,2010-03-01
30-Apr-10,0.3,2010-04-01
31-May-10,0.42,2010-05-01
30-Jun-10,-0.03,2010-06-01
31-Jul-10,0.03,2010-07-01
31-Aug-10,0.33,2010-08-01
30-Sep-10,0.37,2010-09-01
31-Oct-10,0.66,2010-10-01
30-Nov-10,0.42,2010-11-01
31-Dec-10,0.68,2010-12-01
31-Jan-11,0.81,2011-01-01
28-Feb-11,0.36,2011-02-01
31-Mar-11,0.7,2011-03-01
30-Apr-11,1.54,2011-04-01
